,address,asking_price,baths,beds,city,cooling,days_on_zillow,exterior_lot,exterior_lot_depth,exterior_lot_width,foreclosure_estimate,heating,hoa,lot,mls__,offer_type,parking,price_sqft,saves,sqft,type,year_built,zestimate_value,zestimate_price_sqft
42,2059 Lacombe Ave,,2.0,6.0,"Bronx, NY 10473",No Data,5959 Days,2800.0,100.0,28.0,"$411,565",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,3,1920,Multi Family,1987.0,556170.0,289.671875
43,2008 Turnbull Ave,,,,"Bronx, NY 10473",No Data,No Data,3058.0,100.0,30.0,"$388,571",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1782,Multiple Occupancy,1950.0,525096.0,294.6666666666667
44,2063 Turnbull Ave,,,,"Bronx, NY 10473",No Data,No Data,2060.0,103.0,20.0,"$324,008",No Data,,"2,060 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,No Data,2172,Single Family,1940.0,437849.0,201.5879373848987
45,2214 Virgil Pl,,,,"Bronx, NY 10473",No Data,4126 Days,2250.0,90.0,25.0,"$313,535",No Data,,"2,250 sqft",,PRE-FORECLOSURE,No Data,No Data,2,1447,Single Family,2005.0,423696.0,292.80995162404975
46,2259 Quimby Ave,,,,"Bronx, NY 10473",No Data,3527 Days,4123.0,103.0,40.0,"$389,621",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1744,Multiple Occupancy,1925.0,526516.0,301.901376146789
47,905 Olmstead Ave,,,,"Bronx, NY 10473",No Data,5109 Days,7033.0,90.0,78.0,"$526,235",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,3,2975,Multiple Occupancy,1910.0,711129.0,239.03495798319327
48,2068 Turnbull Ave,,,,"Bronx, NY 10473",No Data,2975 Days,1800.0,100.0,18.0,"$350,234",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1782,Multiple Occupancy,1945.0,473290.0,265.5948372615039
49,2152 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,3742.0,100.0,37.0,"$293,961",No Data,,"3,742 sqft",,PRE-FORECLOSURE,No Data,No Data,2,1344,Single Family,1940.0,397245.0,295.56919642857144
50,2087 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,2250.0,90.0,25.0,"$300,672",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,1760,Multiple Occupancy,1960.0,406314.0,230.8602272727273
51,439 Turneur Ave,,,,"Bronx, NY 10473",No Data,8612 Days,2860.0,108.0,26.0,"$341,498",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1630,Multiple Occupancy,1960.0,461484.0,283.119018404908
52,513 Olmstead Ave,,,5.0,"Bronx, NY 10473",No Data,No Data,2004.0,100.0,20.0,"$373,338",No Data,,"2,004 sqft",,PRE-FORECLOSURE,No Data,No Data,8,2325,Single Family,1987.0,504512.0,216.99440860215054
53,508 White Plains Rd,,4.0,3.0,"Bronx, NY 10473","Evaporative, Wall",4166 Days,3049.0,,,"$322,367",No Data,,"3,049 sqft",,PRE-FORECLOSURE,2 spaces,No Data,60,1364,Single Family,1930.0,435632.0,319.3782991202346
54,443 Effingham Ave,,,,"Bronx, NY 10473",No Data,No Data,1949.0,108.0,18.0,"$297,494",No Data,,"1,949 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1594,Single Family,1960.0,402019.0,252.20765370138017
55,2093 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,2250.0,90.0,25.0,"$278,253",No Data,,"2,250 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,1,1540,Single Family,1960.0,376018.0,244.16753246753248
56,2263 Cincinnatus Ave,,2.0,3.0,"Bronx, NY 10473",No Data,6580 Days,1925.0,100.0,19.0,"$351,826",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,3,6650,Multi Family,1935.0,475441.0,71.49488721804511
